"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 8, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 3, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 23, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 14, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 4 times by 1 anonymous user","aem",1,4,1,"Jun 3, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 2 times by 2 anonymous users","pim",1,2,2,"May 20, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 18, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Apr 23, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 22, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 3, 2023"
"/discover/account/detail/7026269ef05d033/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lindt & Sprüngli","United States - lindtusa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 16, 2023"
