"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 24, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Jul 22, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 12, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jun 18, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 4, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 1, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 26, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 18, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 15, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Feb 25, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 10 times by 1 anonymous user","digital asset management",1,10,1,"Feb 24, 2023"
"/discover/account/detail/218b59ad7c967bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Little Caesars","United States - littlecaesars.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023"
