"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 16, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 15, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 3, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 5 times by 1 anonymous user","workflow automation",1,5,1,"May 29, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 23, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 2 times by 1 anonymous user","henry stewart",1,2,1,"Apr 20, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"Apr 19, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 14, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 13, 2023"
"/discover/account/detail/39ca8daaa26f603/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LIXIL","United States - lixil.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 6, 2023"
