"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 5 times by 2 anonymous users","dam europe",1,5,2,"Jun 6, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 25, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Apr 24, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","2 keywords researched a total of 3 times by 1 anonymous user","smartsheet reviews, smartsheet",2,3,1,"Apr 12, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Apr 3, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 23, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Mar 9, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","2 keywords researched a total of 3 times by 2 anonymous users","smartsheet, taxonomy",2,3,2,"Feb 28, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Feb 27, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 22, 2023"
"/discover/account/detail/808bcc10f679aa9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LSI Industries","United States - lsicorp.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Feb 15, 2023"
