"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 4, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 1, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Jul 11, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 3 times by 3 anonymous users","dam europe",1,3,3,"Jun 26, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 13, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 2 times by 2 anonymous users","dam europe",1,2,2,"Jun 6, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jun 3, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 21, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 29, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 23, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 6 times by 1 anonymous user","acquia",1,6,1,"Apr 5, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, dam comparison",2,3,2,"Mar 29, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 25, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Mar 4, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",3,1
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",4,1
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",2,1
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 24, 2023",,
"/discover/account/detail/8176bac3540bfe5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lutron Electronics","United States - lutron.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",2,1
