"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 6, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Jun 4, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 9, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 1, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 26, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 21, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 18, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 16, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 31, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 5 times by 1 anonymous user","hyland",1,5,1,"Mar 11, 2023"
"/discover/account/detail/3b4a0a1c72578a6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MANE","United States - mane.com","1 keyword researched a total of 8 times by 1 anonymous user","Informatica",1,8,1,"Mar 2, 2023"
