"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, content hub",2,3,2,"Aug 5, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 2 times by 2 anonymous users","workflow automation",1,2,2,"Aug 3, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","3 keywords researched a total of 4 times by 4 anonymous users","hyland, taxonomy, asset performance data",3,4,4,"Aug 2, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","2 keywords researched a total of 2 times by 2 anonymous users","content delivery network, taxonomy",2,2,2,"Jul 31, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 4 times by 1 anonymous user","opentext",1,4,1,"Jul 30, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Jul 29, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, Informatica",2,3,2,"Jul 27, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, taxonomy",2,3,2,"Jul 24, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 23, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, content delivery network",2,2,2,"Jul 21, 2023",,
"/discover/account/detail/1d7e14dea48f8bd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Market Of Choice","United States - marketofchoice.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset manager",1,3,1,"Jul 20, 2023",,
