"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 11, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Jul 26, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 21, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 4 times by 1 anonymous user","content hub",1,4,1,"Jun 12, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 9, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 20, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 12, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 6 times by 1 anonymous user","sitecore",1,6,1,"Apr 11, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 9, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, content hub",2,2,2,"Apr 3, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 29, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 20, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Feb 28, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 24, 2023"
"/discover/account/detail/98945ac905feb89/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mars, Inc.","United Kingdom - mars.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 23, 2023"
