"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Aug 2, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Jul 25, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 5, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jun 13, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"May 17, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 16, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 12, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 5, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Apr 4, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 25, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","asset usage data",1,1,1,"Mar 10, 2023"
"/discover/account/detail/684462625da7a0f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mattress Firm","United States - mattressfirm.com","1 keyword researched a total of 1 time by 1 anonymous user","asset usage data",1,1,1,"Mar 2, 2023"
