"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 14, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 31, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 28, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 27, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 25, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 21, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, workflow automation",2,2,2,"Jul 20, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 16, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 26, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Jun 14, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"May 3, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 10, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","brand collections",1,1,1,"Apr 8, 2023",,,,,
"/discover/account/detail/f41b5e8415d2505/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Maxim Integrated Products, Inc.","United States - maximintegrated.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 7, 2023",,,,,
