"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 13, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 8, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 29, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","2 keywords researched a total of 3 times by 2 anonymous users","content hub, dam solutions",2,3,2,"May 10, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 20, 2023",,
"/discover/account/detail/908b21bfcf3b4a8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McCain Foods Ltd","United States - mccain.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 21, 2023",,
