"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 26, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 14, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 28, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 11 times by 1 anonymous user","smartsheet",1,11,1,"Jun 27, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 25, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jun 13, 2023",,
"/discover/account/detail/abd9318c0c0f873/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","McDonald's Corporation","United States - mcdonalds.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 11, 2023",,
