"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Aug 10, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 5, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Aug 4, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 4 times by 2 anonymous users","digital asset manager, taxonomy",2,4,2,"Jul 27, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jul 26, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, dam manager",2,3,2,"Jul 11, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 10, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 4 times by 2 anonymous users","canto, hyland",2,4,2,"Jul 7, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 6 times by 1 anonymous user","aem, aem comparison",2,6,1,"Jul 3, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 28, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 4 times by 2 anonymous users","hyland",1,4,2,"Jun 19, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 4 times by 3 anonymous users","dam new york",1,4,3,"Jun 18, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 2 times by 1 anonymous user","smartsheet, workflow automation",2,2,1,"Jun 14, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, marketing performance",2,2,2,"Jun 11, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 4 times by 2 anonymous users","aem, widen",2,4,2,"Jun 8, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 5 times by 2 anonymous users","sitecore, marketing performance",2,5,2,"Jun 6, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, taxonomy",2,3,2,"Jun 5, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 3, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, content delivery network",2,2,2,"Jun 1, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 25, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 23, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 6 times by 1 anonymous user","pim",1,6,1,"May 20, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 16, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"May 13, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 11, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 10, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 11 times by 1 anonymous user","taxonomy",1,11,1,"May 9, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 7, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 4, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 2, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 1, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Apr 27, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 26, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 25, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 24, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","3 keywords researched a total of 8 times by 3 anonymous users","sitecore, hyland, aem",3,8,3,"Apr 17, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 2 anonymous users","content hub",1,2,2,"Apr 13, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 5, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 30, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, taxonomy",2,2,2,"Mar 29, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 8 times by 1 anonymous user","canto",1,8,1,"Mar 22, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 20, 2023",,
"/discover/account/detail/4d6c49083240827/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Micron Technology, Inc.","United States - micron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 17, 2023",,
