"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 20, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 1, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 4, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 3, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 29, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Mar 27, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Mar 22, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 5 times by 2 anonymous users","taxonomy",1,5,2,"Mar 21, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 3 times by 1 anonymous user","content delivery network",1,3,1,"Mar 15, 2023",,
"/discover/account/detail/9fd3ca01cd3a491/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mister Car Wash","United States - mistercarwash.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 9, 2023",,
