"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 14, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 7, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 30, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 15, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"May 14, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 9, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 2 times by 2 anonymous users","taxonomy",1,2,2,"May 8, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"May 1, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 3 times by 2 anonymous users","marketing performance",1,3,2,"Apr 23, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Apr 20, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 13, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 4 times by 1 anonymous user","content hub",1,4,1,"Apr 8, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Mar 29, 2023"
"/discover/account/detail/85f68d18fadcc05/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Mitsubishi Electric US","United States - mea.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Mar 28, 2023"
