"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",2,2,2,"Jul 26, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 3, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 30, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 29, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 26, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 17, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 23, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 20, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",,,1,"Mar 15, 2023",1,1,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",,,1,"Mar 15, 2023",1,,2
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 13, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 7, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 28, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 8 times by 1 anonymous user","digital asset management",1,8,1,"Feb 26, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 21, 2023",,,
"/discover/account/detail/4c4d74e59c6e9d6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Monster Energy","United States - monsterenergy.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023",,,
