"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 13, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 10, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jun 4, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 30, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Apr 24, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Apr 23, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 2, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 26, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 18, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 10, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 7, 2023",,
"/discover/account/detail/efcc692947bed9a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Morrison Healthcare","United States - iammorrison.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 5, 2023",,
