"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 3 times by 1 anonymous user","dam europe",1,3,1,"Aug 10, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Aug 8, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 3 times by 1 anonymous user","content delivery network",1,3,1,"Jul 18, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 11, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Jun 30, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","2 keywords researched a total of 2 times by 1 anonymous user","dam europe, aem",2,2,1,"Jun 26, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 22, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 3, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 3 times by 2 anonymous users","pim",1,3,2,"May 21, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 9, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 6, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 4 times by 1 anonymous user","sitecore",1,4,1,"Apr 25, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 10, 2023"
"/discover/account/detail/d6fabb2c34a6e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MTS Systems","United States - mts.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Feb 17, 2023"
