"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 10, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 14, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 11, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","2 keywords researched a total of 11 times by 2 anonymous users","hyland, sitecore",2,11,2,"Apr 11, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 3, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 30, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 28, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 26, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 25, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 23, 2023"
"/discover/account/detail/9c9438a9818a6ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Murata Manufacturing Co., Ltd.","United States - murata.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Feb 27, 2023"
