"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 23, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jun 20, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 13, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Apr 5, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 14, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 28, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 4 times by 1 anonymous user","smartsheet",1,4,1,"Feb 23, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","1 keyword researched a total of 6 times by 1 anonymous user","smartsheet",1,6,1,"Feb 22, 2023"
"/discover/account/detail/4ab801cf44bd831/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","New Seasons Market","United States - newseasonsmarket.com","2 keywords researched a total of 5 times by 1 anonymous user","david lipsey, digital asset management",2,5,1,"Feb 18, 2023"
