"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 4, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 25, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 15, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 10, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, brand integrity",2,3,2,"Apr 4, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 3 times by 2 anonymous users","content hub",1,3,2,"Apr 1, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Mar 31, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 12, 2023",,
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",7,1
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",1,1
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",2,1
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",2,1
"/discover/account/detail/aace5dbbfcb1db7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Nu Skin Emterprises, Inc.","United States - nuskin.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",1,1
