"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 18, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 7, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 10, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 7 times by 1 anonymous user","smartsheet",1,7,1,"May 31, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","2 keywords researched a total of 2 times by 1 anonymous user","opentext, opentext solutions",2,2,1,"May 3, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 2 times by 1 anonymous user","opentext",1,2,1,"May 1, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Apr 18, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 6, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 3, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 21, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 6, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",4,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","11 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",11,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",4,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Feb 26, 2023",,
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 25, 2023",1,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",6,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",7,1
"/discover/account/detail/d6507a18ecb4710/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","nVent Electric Plc","United States - nvent.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",2,1
