"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 30, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","2 keywords researched a total of 2 times by 2 anonymous users","smartsheet, marketing performance",2,2,2,"Jul 3, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 11, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 3 times by 1 anonymous user","content delivery network",1,3,1,"May 10, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 30, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 14, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","2 keywords researched a total of 40 times by 1 anonymous user","digital asset management, digital asset management trends",2,40,1,"Feb 23, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","2 keywords researched a total of 44 times by 1 anonymous user","digital asset management, digital asset management trends",2,44,1,"Feb 22, 2023"
"/discover/account/detail/ea7c51894cd93e5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ocean Spray Cranberries, Inc.","United States - oceanspray.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 18, 2023"
