"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 3, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jul 24, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 19, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 8, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 3, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Jun 24, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"May 23, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset manager",1,3,1,"May 9, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 4, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, content hub",2,3,2,"Apr 10, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Mar 24, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 23, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",2,2,2,"Feb 27, 2023"
"/discover/account/detail/d7c7ec00b75eb6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Omaha Steaks","United States - omahasteaks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 15, 2023"
