"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 12, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 19, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 22, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 7, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Jun 2, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"May 13, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"May 12, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Apr 27, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Apr 5, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","dam solutions",1,1,1,"Mar 27, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Mar 16, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 10, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 18, 2023"
"/discover/account/detail/95c69b06fca9184/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","One Workplace","United States - oneworkplace.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 17, 2023"
