"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, dam new york",2,3,2,"Jul 23, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, taxonomy",2,2,2,"Jul 14, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, canto",2,2,2,"Jul 9, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 4 times by 3 anonymous users","canto",1,4,3,"Jun 3, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 29, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"May 16, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 12, 2023",,
"/discover/account/detail/3f33f9bffab55fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otis Worldwide Corportion","United States - otis.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"May 11, 2023",,
