"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 28, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 18, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 8, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Jul 7, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","3 keywords researched a total of 5 times by 1 anonymous user","pim, Pimcore, product information management",3,5,1,"Jun 29, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 20, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 16, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 15, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 16, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Feb 27, 2023"
"/discover/account/detail/6416e35bb84735f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Otter Products","United States - otterproducts.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 17, 2023"
