"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Aug 9, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Aug 5, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, content hub",2,2,2,"Aug 1, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 1, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jun 27, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 4, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","lifecycle analytics",1,1,1,"May 31, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 23, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"May 19, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, content hub",2,3,2,"Apr 30, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Apr 23, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 31, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"Mar 17, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Mar 16, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 3, 2023",,
"/discover/account/detail/8bb9b63f7d00a22/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pall Corporation","United States - pall.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",3,1
