"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 4, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 26, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 25, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, content intelligence",2,2,2,"Jul 23, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 6 times by 1 anonymous user","digital asset management",1,6,1,"Jun 25, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 23, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 18, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 15, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Jun 13, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 11, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 10, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 6, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jun 5, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jun 1, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"May 28, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 24, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 23, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 22, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","3 keywords researched a total of 6 times by 3 anonymous users","canto, content hub, digital asset management",3,6,3,"May 21, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 6 times by 1 anonymous user","digital asset management",1,6,1,"May 18, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","2 keywords researched a total of 2 times by 1 anonymous user","smartsheet alternatives, smartsheet",2,2,1,"May 17, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 14, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"May 11, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 7, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","brand collections",1,1,1,"May 5, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 4, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"May 3, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 1, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","2 keywords researched a total of 11 times by 2 anonymous users","hyland, workflow automation",2,11,2,"Apr 25, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 24, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Apr 21, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Apr 20, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 14, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 11, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 10, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 8, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 2, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Mar 31, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","7 pages viewed a total of 8 times by 1 Anonymous user","https://tenovos.com/platform/, https://tenovos.com/resources/blog/quick-start-guide-to-dam-integrations/, https://tenovos.com/, https://tenovos.com/resources/ebooks-digital-assets-data/data-in-dam/, https://tenovos.com/resources/blog/dam-system-users/, https://tenovos.com/why/dam-workflow-tools/, https://tenovos.com/press/tenovos-joins-mach-alliance/",,,1,"Mar 30, 2023",7,8,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 10 times by 1 anonymous user","aem",1,10,1,"Mar 30, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Mar 29, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 26, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Mar 25, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, content hub",2,2,2,"Mar 21, 2023",,,,
"/discover/account/detail/05d7499a90a0e48/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panasonic","United States - panasonic.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, Informatica",2,2,2,"Mar 16, 2023",,,,
