"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Aug 12, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 10 times by 1 anonymous user","smartsheet",1,10,1,"Aug 7, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 25, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 24, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 3 times by 1 anonymous user","dam assessment",1,3,1,"Jun 8, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","2 keywords researched a total of 6 times by 2 anonymous users","dam europe, content hub",2,6,2,"Jun 6, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 23, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Mar 25, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 17, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 16, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 5, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Feb 19, 2023",,
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",3,1
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",4,1
"/discover/account/detail/7201f7d8b874c04/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panduit","United States - panduit.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",4,1
