"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 3 times by 2 anonymous users","widen",1,3,2,"Jul 14, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 2, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 1, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 29, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, hyland",2,3,2,"Apr 11, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 8, 2023",,
"/discover/account/detail/21834d4f406ed28/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Panera Bread","United States - panerabread.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow streamlining",1,1,1,"Apr 3, 2023",,
