"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 10, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 18, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 13, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 2 times by 1 anonymous user","content delivery network",1,2,1,"Jun 28, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, dam europe",2,2,2,"Jun 26, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 23, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 8, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 6, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 30, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 14, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 5 times by 1 anonymous user","widen",1,5,1,"May 4, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 10, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 26, 2023"
"/discover/account/detail/a2aacecf207c47a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","PCB Piezotronics","United States - pcb.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 8, 2023"
