"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 26, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 23, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 18, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 29, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 18, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 6, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 31, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 24, 2023",,
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",4,1
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",6,1
"/discover/account/detail/4f1c53bf98f0661/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Peet's Coffee & Tea","United States - peets.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",4,1
