"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 26, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"May 30, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 15, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 2, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 17, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 31, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",1,1
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",1,1
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management trends, digital asset management",2,2,1,"Feb 23, 2023",,
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",1,1
"/discover/account/detail/c65a33ede732904/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Perdue Farms, Inc.","United States - perdue.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",1,1
