"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 3 times by 1 anonymous user","workflow automation",1,3,1,"Jul 31, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 24, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 12 times by 1 anonymous user","marketing performance",1,12,1,"Jul 18, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, content hub",2,3,2,"Jul 12, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 8, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 1, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 7 times by 2 anonymous users","Informatica",1,7,2,"Jun 23, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 18, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 12, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 8, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/0a3cf45f7c32a96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Performance Food Group Company","United States - pfgc.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 2, 2023",,
