"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 5, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jul 28, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","2 keywords researched a total of 2 times by 1 anonymous user","smartsheet pricing, smartsheet",2,2,1,"May 8, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 2, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 26, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Mar 30, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 27, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 16, 2023"
"/discover/account/detail/88ce23de980a94e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Planet Fitness","United States - planetfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 26, 2023"
