"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 31, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Jul 26, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 20, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 17, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 7, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 22, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Jun 14, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 1, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 17, 2023"
"/discover/account/detail/88ad02d5a8aeb9b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Plexus Corp.","United States - plexus.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 24, 2023"
