"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 31, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 23, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 30, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","2 keywords researched a total of 3 times by 2 anonymous users","dam europe, hyland",2,3,2,"Jun 27, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 18, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"May 22, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"May 2, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","2 keywords researched a total of 8 times by 1 anonymous user","smartsheet alternatives, smartsheet",2,8,1,"Apr 20, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 19, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Apr 11, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 10, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Apr 7, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 26, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 25, 2023",,
"/discover/account/detail/761cda6e98fd79b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Post Holdings, Inc.","United States - postholdings.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
