"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 23, 2023",,,,
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 23, 2023",,,,
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",,,1,"Apr 26, 2023",1,1,,
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Apr 20, 2023",,,,
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 25, 2023",,,,
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",,,1,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",,,2,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",,,2,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","19 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",,,19,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",,,5,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023",,,,
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",,,1,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","26 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",,,26,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","10 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",,,10,1
"/discover/account/detail/db16af4f1148492/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Prairie Farms Dairy, Inc.","United States - prairiefarms.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",,,4,1
