"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","5 pages viewed a total of 5 times by 1 Anonymous user","https://tenovos.com/platform/story-management/, https://tenovos.com/platform/story-activation/, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/",5,5,1,"Aug 3, 2023",,,
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","4 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/platform/story-management/, https://tenovos.com/platform/story-activation/, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/",4,,1,"Aug 3, 2023",5,,
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 14, 2023",,1,1
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",,,1,"Jul 5, 2023",,1,2
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",,,1,"May 4, 2023",,1,1
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Apr 29, 2023",,1,1
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Apr 24, 2023",,1,1
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Mar 31, 2023",,1,2
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 10 times by 1 anonymous user","marketing performance",,,1,"Mar 26, 2023",,1,10
"/discover/account/detail/c8f8bee30bf3af0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Pure Barre","United States - purebarre.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"Feb 25, 2023",,1,2
