"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jul 29, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 5, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 3, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Jun 30, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 27, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 9 times by 1 anonymous user","digital asset management",1,9,1,"Jun 25, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jun 23, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 17, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 24, 2023"
"/discover/account/detail/8071d7a4dd7d152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Raymour & Flanigan","United States - raymourflanigan.com","1 keyword researched a total of 4 times by 1 anonymous user","pim",1,4,1,"May 20, 2023"
