"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 13, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Jul 22, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, digital asset management",2,3,2,"Jul 15, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, digital asset management",2,3,2,"Jul 13, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 10, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 9, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 28, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 6 times by 1 anonymous user","digital asset management",1,6,1,"Jun 27, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 16, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 8 times by 1 anonymous user","digital asset management",1,8,1,"Jun 4, 2023",,
"/discover/account/detail/a2179cf74a0dffe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Reckitt Benckiser","United States - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 1, 2023",,
