"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Aug 5, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 23, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 13, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 7, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 25, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 25, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 21, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","2 keywords researched a total of 4 times by 3 anonymous users","smartsheet, content delivery network",2,4,3,"Mar 10, 2023"
"/discover/account/detail/23c48f64f2f302c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Refresco Group NV","United States - refresco.com","1 keyword researched a total of 1 time by 1 anonymous user","track asset performance",1,1,1,"Feb 15, 2023"
