"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 12, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Aug 4, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 3 times by 1 anonymous user","sitecore",1,3,1,"Aug 3, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 18, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 4, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 28, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 27, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 4 times by 1 anonymous user","aem",1,4,1,"Jun 26, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 10, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"May 31, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 25, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"May 24, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 23, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 15, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 8, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 23, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 20, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 19, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 4 times by 1 anonymous user","sitecore",1,4,1,"Mar 13, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 5, 2023"
"/discover/account/detail/ad15fdf44965ebe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Regal Beloit","United States - regalbeloit.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management trends",2,2,1,"Feb 22, 2023"
