"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, workflow automation",2,2,2,"Aug 1, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Jun 14, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 11, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 17, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"May 16, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 23, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 21, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 9, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","2 keywords researched a total of 6 times by 1 anonymous user","opentext, forrester wave",2,6,1,"Apr 6, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 3, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 2, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 25, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 22, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Mar 18, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","2 keywords researched a total of 9 times by 2 anonymous users","hyland, aem",2,9,2,"Mar 17, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 16, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 6, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 5, 2023",,
"/discover/account/detail/d5db1d1914a8b57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rexel","United States - rexelusa.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",4,1
