"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 4, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Jul 26, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 29, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","2 keywords researched a total of 2 times by 2 anonymous users","dam europe, product information management",2,2,2,"Jun 27, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 2 times by 1 anonymous user","product information management",1,2,1,"Jun 25, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 18, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 12, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 6, 2023"
"/discover/account/detail/67e5b6661e49299/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rheem Manufacturing Company","United States - rheem.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"May 23, 2023"
