"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 12, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","2 keywords researched a total of 2 times by 2 anonymous users","product information management, marketing performance",2,2,2,"Aug 4, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jul 31, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 23, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 19, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 27 times by 1 anonymous user","hyland",1,27,1,"Jun 24, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 23, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 19, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 14, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 12, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 4 times by 1 anonymous user","pim",1,4,1,"Jun 4, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 18 times by 1 anonymous user","taxonomy",1,18,1,"May 23, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 20, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 16, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",,,1,"May 14, 2023",1,2,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",,,1,"May 14, 2023",1,,2
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 14, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",,,1,"May 13, 2023",1,2,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"May 10, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 25, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 20, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"Apr 17, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 8, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 4, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Apr 3, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","2 keywords researched a total of 2 times by 2 anonymous users","content hub, marketing performance",2,2,2,"Mar 31, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 30, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 1, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Feb 28, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 24, 2023",,,
"/discover/account/detail/940bbc722ef1422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Rich Products Corporation","United States - richs.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 19, 2023",,,
