"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","2 keywords researched a total of 2 times by 1 anonymous user","hyland, hyland reviews",2,2,1,"Aug 11, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 10, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 1, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 2 times by 2 anonymous users","hyland",1,2,2,"Jul 23, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","review of assets",1,1,1,"Jun 20, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 31, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"May 10, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Apr 20, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 8 times by 1 anonymous user","widen",1,8,1,"Apr 17, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 3, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","2 keywords researched a total of 8 times by 1 anonymous user","digital asset management trends, digital asset management",2,8,1,"Feb 22, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","2 keywords researched a total of 6 times by 1 anonymous user","digital asset management trends, digital asset management",2,6,1,"Feb 21, 2023"
"/discover/account/detail/ee3a3517d65afb9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samsonite International SA","United States - samsonite.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 15, 2023"
