"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jul 30, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jul 18, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","forrester wave",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jun 16, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 5, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 27, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 8, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 26, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 24, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Feb 18, 2023",,
"/discover/account/detail/2c15dae7127e1f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Samtec","United States - samtec.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",3,1
