"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 11, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 3, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management trends",2,2,1,"Mar 10, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management trends",2,2,1,"Mar 3, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",2,1
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",6,1
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",1,1
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management trends",2,2,1,"Feb 28, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",2,1
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Feb 26, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Feb 25, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","11 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",11,1
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",3,1
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","2 keywords researched a total of 6 times by 1 anonymous user","digital asset management, digital asset management trends",2,6,1,"Feb 23, 2023",,
"/discover/account/detail/4eee311046fe630/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sauder Woodworking Co.","United States - sauder.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",5,1
