"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 16, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 4 times by 1 anonymous user","dam europe",1,4,1,"Jun 26, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 20, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 7, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 15, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Apr 26, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 3 times by 3 anonymous users","widen",1,3,3,"Apr 11, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 30, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 6 times by 2 anonymous users","taxonomy",1,6,2,"Mar 29, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 24, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 28, 2023"
"/discover/account/detail/5937e21f6cbe963/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schnuck Markets","United States - schnucks.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023"
