"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jul 23, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 7 times by 1 anonymous user","dam europe",1,7,1,"Jun 26, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 8, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 24, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 16, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 9, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 6, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 5, 2023",,
"/discover/account/detail/bf8e55b7f674a98/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Schreiber Foods","United States - schreiberfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Apr 30, 2023",,
