"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 5, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 28, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 18, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 1, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 6, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 4, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 3, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Feb 27, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Feb 26, 2023"
"/discover/account/detail/4c7a9f1f02440ae/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Semtech","Canada - semtech.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Feb 24, 2023"
