"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 11, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 9 times by 2 anonymous users","aem, Informatica",2,9,2,"Aug 10, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Aug 9, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 5 times by 5 anonymous users","hyland",1,5,5,"Aug 8, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 4 times by 2 anonymous users","hyland, aem",2,4,2,"Aug 7, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 8 times by 2 anonymous users","aem, hyland",2,8,2,"Aug 4, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 4 times by 2 anonymous users","aem, marketing performance",2,4,2,"Aug 3, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 13 times by 1 anonymous user","aem",1,13,1,"Aug 2, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 1, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 3 times by 2 anonymous users","hyland",1,3,2,"Jul 31, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 4 times by 3 anonymous users","aem, marketing performance",2,4,3,"Jul 28, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 5 times by 2 anonymous users","canto, aem",2,5,2,"Jul 26, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, marketing performance",2,3,2,"Jul 24, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 23, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","2 keywords researched a total of 4 times by 2 anonymous users","Informatica, content hub",2,4,2,"Jul 18, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 17, 2023",,,,,
"/discover/account/detail/2d5890be3baff6f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sherwin - Williams","United States - sherwin-williams.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023",,,,,
