"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Aug 7, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Aug 1, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 29, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 28, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 28, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 21, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 6, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","forrester wave",1,1,1,"Jun 5, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 31, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 23, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 5 times by 1 anonymous user","sitecore",1,5,1,"May 2, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 1, 2023"
"/discover/account/detail/9090af49bac2afb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","SHURE EUROPE GMBH","United States - shure.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Mar 21, 2023"
