"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 1, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jul 18, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","2 keywords researched a total of 2 times by 2 anonymous users","smartsheet, widen",2,2,2,"Jul 14, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, content hub",2,2,2,"Jun 22, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jun 13, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 11, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 16, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 7, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 13, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Apr 11, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 30, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 22, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Mar 18, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 15, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 9, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 8, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 28, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Feb 24, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","2 keywords researched a total of 6 times by 1 anonymous user","digital asset management trends, digital asset management",2,6,1,"Feb 23, 2023"
"/discover/account/detail/55b9a1220ce539e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Shutterfly, Inc.","United States - shutterfly.com","3 keywords researched a total of 3 times by 1 anonymous user","digital asset management trends, workflow automation, digital asset management",3,3,1,"Feb 22, 2023"
