"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Aug 11, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 10, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 5 times by 2 anonymous users","taxonomy",1,5,2,"Aug 9, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 8, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","3 keywords researched a total of 3 times by 2 anonymous users","aem dam, aem, best dam",3,3,2,"Aug 6, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, taxonomy",2,3,2,"Aug 4, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 9 times by 2 anonymous users","taxonomy",1,9,2,"Aug 3, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 2, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Aug 1, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 1 time by 1 anonymous user","brand integrity",1,1,1,"Jul 31, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 29, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 26, 2023",,,,,
"/discover/account/detail/b6d3f2ca966c0bc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Siemens AG","United States - siemens.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jul 25, 2023",,,,,
