"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 3 times by 1 anonymous user","workflow automation",1,3,1,"Aug 4, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 25, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 24, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 3 times by 2 anonymous users","dam europe",1,3,2,"Jun 26, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 25, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 8, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 3 times by 1 anonymous user","opentext",1,3,1,"May 25, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 5 times by 1 anonymous user","hyland",1,5,1,"Mar 27, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 25, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 21, 2023"
"/discover/account/detail/700c2d550496d8b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Skyworks Solutions, Inc.","United States - skyworksinc.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Mar 2, 2023"
