"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jul 24, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 16, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jul 11, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 4 times by 1 anonymous user","content delivery network",1,4,1,"Jul 4, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 29, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","dam solutions",1,1,1,"May 10, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 9, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","2 keywords researched a total of 4 times by 1 anonymous user","opentext alternatives, opentext",2,4,1,"Apr 28, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 2, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","campaign monitoring",1,1,1,"Mar 28, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 10, 2023"
"/discover/account/detail/8d5597e2df7e723/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sobeys","Canada - sobeys.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 16, 2023"
