"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","2 keywords researched a total of 2 times by 1 anonymous user","aem, adobe aem",2,2,1,"Jun 22, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 14, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","2 keywords researched a total of 4 times by 1 anonymous user","opentext, opentext solutions",2,4,1,"Jun 5, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 1, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 20, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 18, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 27, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 24, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 20, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 18, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","2 keywords researched a total of 4 times by 2 anonymous users","taxonomy, marketing performance",2,4,2,"Apr 17, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 14, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 13, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 2, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 30, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Mar 29, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","2 keywords researched a total of 4 times by 2 anonymous users","taxonomy, workflow automation",2,4,2,"Mar 28, 2023",,
"/discover/account/detail/0984895d44fe4f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sonos, Inc.","United States - sonos.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 14, 2023",,
