"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 30, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, workflow automation",2,2,2,"Jul 26, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 23, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jul 17, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jul 14, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 2 times by 2 anonymous users","dam europe",1,2,2,"Jun 26, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, bynder",2,2,2,"May 5, 2023",,
"/discover/account/detail/34315fa70908092/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Spectrum Brands Holdings, Inc.","United States - spectrumbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Apr 29, 2023",,
