"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 13, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 10 times by 1 anonymous user","taxonomy",1,10,1,"Aug 11, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Aug 10, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 9, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 8, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 7, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Aug 1, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 24, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 22, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 6 times by 1 anonymous user","aem",1,6,1,"Jul 18, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/",,,1,"Jul 17, 2023",1,1,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/",,,1,"Jul 17, 2023",1,,1,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, marketing performance",2,2,2,"Jul 15, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 9, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 4, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 30, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 26, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Jun 23, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 16, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 14, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 4, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 27, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","2 keywords researched a total of 3 times by 2 anonymous users","marketing performance, taxonomy",2,3,2,"May 21, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"May 18, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 14, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","2 keywords researched a total of 5 times by 2 anonymous users","widen, taxonomy",2,5,2,"May 4, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 1, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 23, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 22, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 20, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 4, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 3, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Apr 1, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 19, 2023",,,,,
"/discover/account/detail/687b6263927cfb5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Starbucks Corporation","United States - starbucks.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 18, 2023",,,,,
