"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jul 13, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 8, 2023",,
"/discover/account/detail/a0227e7cb82f3ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Steelcase, Inc.","United States - steelcase.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 7, 2023",,
