"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 20, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 7 times by 1 anonymous user","pim",1,7,1,"May 19, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 17, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 16, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Apr 11, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 2 times by 1 anonymous user","intelligent content",1,2,1,"Apr 8, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 5, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 2, 2023",,
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",1,1
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",3,1
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",1,1
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",2,1
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",1,1
"/discover/account/detail/aa67103909879fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Stratasys","United States - stratasys.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",1,1
